1;air_base;3777.00;10.00;2106.00;4.54;0
1;anti_air_building;3792.00;10.00;1921.00;0.78;0
1;anti_air_building;3821.00;10.00;1907.00;4.40;0
1;anti_air_building;3879.00;10.00;1841.00;1.73;0
1;arms_factory;3743.00;10.00;1891.00;4.02;0
1;arms_factory;3802.00;10.00;2053.00;5.58;0
1;arms_factory;3832.00;10.00;2134.00;6.08;0
1;arms_factory;3862.00;10.00;1962.00;1.96;0
1;arms_factory;3922.00;10.00;1848.00;6.18;0
1;arms_factory;4147.00;10.00;2187.00;1.46;0
1;bunker;3712.00;10.00;2031.00;2.61;0
1;bunker;3761.00;10.00;1933.00;3.21;0
1;bunker;3789.00;10.00;2062.00;0.71;0
1;bunker;3808.00;10.00;1919.00;1.22;0
1;bunker;3820.00;10.00;1777.00;0.11;0
1;bunker;3832.00;10.00;1948.00;2.71;0
1;bunker;3835.00;10.00;2065.00;5.28;0
1;bunker;3836.00;10.00;2002.00;2.17;0
1;bunker;3840.00;10.00;2149.00;3.38;0
1;bunker;3855.00;10.00;2158.00;2.78;0
1;bunker;3874.00;10.00;1810.00;1.67;0
1;bunker;3888.00;10.00;1853.00;4.83;0
1;bunker;3913.00;10.00;2026.00;5.95;0
1;bunker;3932.00;9.50;2106.00;2.26;0
1;bunker;3958.00;10.00;2135.00;1.16;0
1;bunker;3961.00;10.00;1917.00;3.89;0
1;bunker;3965.00;10.00;2012.00;0.20;0
1;bunker;3966.00;9.50;2072.00;5.79;0
1;bunker;3971.00;10.00;1792.00;5.45;0
1;bunker;3978.00;10.00;2084.00;5.88;0
1;bunker;4027.00;10.00;1912.00;5.34;0
1;bunker;4047.00;10.00;1981.00;0.55;0
1;bunker;4054.00;10.00;2177.00;5.44;0
1;bunker;4090.00;10.00;2058.00;0.11;0
1;bunker;4102.00;10.00;2128.00;2.33;0
1;bunker;4166.00;10.00;2072.00;4.77;0
1;bunker;4174.00;10.00;2018.00;3.22;0
1;bunker;4188.00;10.00;2175.00;3.29;0
1;fuel_silo;3714.00;10.00;2036.00;2.84;0
1;industrial_complex;3760.00;10.00;2066.00;0.41;0
1;industrial_complex;3779.00;10.00;2083.00;3.07;0
1;industrial_complex;3831.00;10.00;2024.00;1.52;0
1;industrial_complex;3907.00;10.00;1873.00;5.13;0
1;industrial_complex;3953.00;9.50;1859.00;2.47;0
1;industrial_complex;3985.00;10.00;1983.00;6.09;0
1;radar_station;3942.00;10.00;1970.00;5.96;0
